seed,episode,total_reward,steps,collision,completed_full_duration
1,86,36.8002,40,False,True
1,87,37.0312,40,False,True
1,88,36.7526,40,False,True
1,89,36.5829,40,False,True
1,90,36.4129,40,False,True
1,91,36.9711,40,False,True
1,92,37.3282,40,False,True
1,93,37.2064,40,False,True
1,94,36.6861,40,False,True
1,95,37.1826,40,False,True
1,96,36.9204,40,False,True
1,97,36.4075,40,False,True
1,98,36.856,40,False,True
1,99,2.8303,4,True,False
2,0,36.6922,40,False,True
2,1,37.2075,40,False,True
2,2,36.7887,40,False,True
2,3,36.9408,40,False,True
2,4,36.68,40,False,True
2,5,36.783,40,False,True
2,6,37.1404,40,False,True
2,7,36.5455,40,False,True
2,8,37.1403,40,False,True
2,9,19.5583,22,True,False
2,10,37.3278,40,False,True
2,11,3.6739,5,True,False
2,12,37.5693,40,False,True
2,13,37.0904,40,False,True
2,14,37.3041,40,False,True
2,15,37.2071,40,False,True
2,16,37.3581,40,False,True
2,17,37.1082,40,False,True
2,18,37.3455,40,False,True
2,19,1.8966,3,True,False
2,20,37.0984,40,False,True
2,21,36.8129,40,False,True
2,22,37.213,40,False,True
2,23,36.873,40,False,True
2,24,37.418,40,False,True
2,25,36.6121,40,False,True
2,26,36.6009,40,False,True
2,27,37.1938,40,False,True
2,28,37.151,40,False,True
2,29,36.9942,40,False,True
2,30,37.0519,40,False,True
2,31,37.2729,40,False,True
2,32,37.1588,40,False,True
2,33,37.4172,40,False,True
2,34,37.3072,40,False,True
2,35,21.1948,24,True,False
2,36,36.9702,40,False,True
2,37,36.867,40,False,True
2,38,36.7465,40,False,True
2,39,37.2041,40,False,True
2,40,36.7344,40,False,True
2,41,37.3098,40,False,True
2,42,36.8736,40,False,True
2,43,37.0249,40,False,True
2,44,37.3693,40,False,True
2,45,37.1406,40,False,True
2,46,36.3711,40,False,True
2,47,36.4802,40,False,True
2,48,37.4189,40,False,True
2,49,37.1932,40,False,True
2,50,36.6135,40,False,True
2,51,36.7324,40,False,True
2,52,37.6125,40,False,True
2,53,36.7161,40,False,True
2,54,37.3824,40,False,True
2,55,37.2248,40,False,True
2,56,36.8373,40,False,True
2,57,37.3166,40,False,True
2,58,22.4196,25,True,False
2,59,36.9518,40,False,True
2,60,37.2246,40,False,True
2,61,37.1711,40,False,True
2,62,37.1711,40,False,True
2,63,36.7461,40,False,True
2,64,37.2007,40,False,True
2,65,37.1388,40,False,True
2,66,37.3891,40,False,True
2,67,36.5166,40,False,True
2,68,37.0184,40,False,True
2,69,36.6315,40,False,True
2,70,35.9686,40,True,False
2,71,37.1807,40,False,True
2,72,37.1751,40,False,True
2,73,37.5521,40,False,True
2,74,36.5515,40,False,True
2,75,37.7103,40,False,True
2,76,36.8854,40,False,True
2,77,36.6796,40,False,True
2,78,36.9523,40,False,True
2,79,36.7348,40,False,True
2,80,36.6371,40,False,True
2,81,37.2666,40,False,True
2,82,19.2725,22,True,False
2,83,37.3281,40,False,True
2,84,36.5105,40,False,True
2,85,37.3407,40,False,True
2,86,37.0554,40,False,True
2,87,36.9043,40,False,True
2,88,37.2064,40,False,True
2,89,37.0012,40,False,True
2,90,36.4007,40,False,True
2,91,37.31,40,False,True
2,92,37.5337,40,False,True
2,93,37.4619,40,False,True
2,94,37.1469,40,False,True
2,95,36.8555,40,False,True
2,96,2.7765,4,True,False
2,97,37.1276,40,False,True
2,98,37.0742,40,False,True
2,99,37.2852,40,False,True
3,0,37.0073,40,False,True
3,1,36.9105,40,False,True
3,2,37.0977,40,False,True
3,3,37.062,40,False,True
3,4,37.0799,40,False,True
3,5,37.1772,40,False,True
3,6,36.9886,40,False,True
3,7,36.4802,40,False,True
3,8,37.0733,40,False,True
3,9,36.7406,40,False,True
3,10,37.1287,40,False,True
3,11,5.5644,7,True,False
3,12,37.2796,40,False,True
3,13,37.2127,40,False,True
3,14,37.1946,40,False,True
3,15,37.2224,40,False,True
3,16,37.1578,40,False,True
3,17,37.3088,40,False,True
3,18,37.1157,40,False,True
3,19,2.7467,4,True,False
3,20,37.3763,40,False,True
3,21,37.0189,40,False,True
3,22,37.0984,40,False,True
3,23,37.0371,40,False,True
3,24,37.2542,40,False,True
3,25,36.6068,40,False,True
3,26,37.1339,40,False,True
3,27,37.1344,40,False,True
3,28,37.1407,40,False,True
3,29,37.0615,40,False,True
3,30,36.662,40,False,True
3,31,37.0921,40,False,True
3,32,37.1161,40,False,True
3,33,37.1221,40,False,True
3,34,32.7219,36,True,False
3,35,37.2861,40,False,True
3,36,37.1027,40,False,True
3,37,37.1337,40,False,True
3,38,36.6798,40,False,True
3,39,37.2436,40,False,True
3,40,37.2848,40,False,True
3,41,37.3103,40,False,True
3,42,37.274,40,False,True
3,43,37.1831,40,False,True
3,44,37.0797,40,False,True
3,45,37.1098,40,False,True
3,46,36.7701,40,False,True
3,47,37.0256,40,False,True
3,48,37.2007,40,False,True
3,49,37.2073,40,False,True
3,50,37.0559,40,False,True
3,51,36.6257,40,False,True
3,52,37.1588,40,False,True
3,53,37.0499,40,False,True
3,54,37.2975,40,False,True
3,55,37.1036,40,False,True
3,56,36.8372,40,False,True
3,57,37.0615,40,False,True
3,58,37.1583,40,False,True
3,59,37.2551,40,False,True
3,60,37.0731,40,False,True
3,61,37.0675,40,False,True
3,62,37.1286,40,False,True
3,63,36.5938,40,False,True
3,64,36.7524,40,False,True
3,65,37.2346,40,False,True
3,66,37.1348,40,False,True
3,67,36.4802,40,False,True
3,68,37.0189,40,False,True
3,69,37.1522,40,False,True
3,70,23.6802,27,True,False
3,71,36.9647,40,False,True
3,72,37.2437,40,False,True
3,73,37.2603,40,False,True
3,74,37.2734,40,False,True
3,75,37.6012,40,False,True
3,76,37.0612,40,False,True
3,77,36.9403,40,False,True
3,78,37.0916,40,False,True
3,79,36.8075,40,False,True
3,80,37.0736,40,False,True
3,81,37.1461,40,False,True
3,82,37.1822,40,False,True
3,83,37.2311,40,False,True
3,84,36.9348,40,False,True
3,85,37.2196,40,False,True
3,86,37.2676,40,False,True
3,87,36.4494,40,False,True
3,88,36.5348,40,False,True
3,89,37.0376,40,False,True
3,90,36.8977,40,False,True
3,91,37.1648,40,False,True
3,92,3.7942,5,True,False
3,93,37.2376,40,False,True
3,94,37.0066,40,False,True
3,95,37.2793,40,False,True
3,96,37.274,40,False,True
3,97,37.0256,40,False,True
3,98,37.0553,40,False,True
3,99,37.1164,40,False,True
4,0,37.0372,40,False,True
4,1,37.0916,40,False,True
4,2,37.2075,40,False,True
4,3,37.2613,40,False,True
4,4,37.2736,40,False,True
4,5,9.159,11,True,False
4,6,37.1635,40,False,True
4,7,36.3949,40,False,True
4,8,37.405,40,False,True
4,9,37.4549,40,False,True
4,10,37.2134,40,False,True
4,11,36.5467,40,False,True
4,12,37.3585,40,False,True
4,13,36.5564,40,False,True
4,14,37.3098,40,False,True
4,15,36.6439,40,False,True
4,16,37.2373,40,False,True
4,17,37.3893,40,False,True
4,18,37.128,40,False,True
4,19,37.4237,40,False,True
4,20,37.6428,40,False,True
4,21,36.8154,40,False,True
4,22,37.3166,40,False,True
4,23,37.1643,40,False,True
4,24,37.377,40,False,True
4,25,36.8068,40,False,True
