scenario,seed,episode,crashed,failure_category
junction_crossing_busy,4,12,False,Prediction
junction_crossing_busy,4,13,True,Robustness
junction_crossing_busy,4,14,False,Prediction
junction_crossing_busy,4,15,True,Robustness
junction_crossing_busy,4,16,True,Robustness
junction_crossing_busy,4,17,False,Prediction
junction_crossing_busy,4,18,True,Robustness
junction_crossing_busy,4,19,True,Robustness
junction_crossing_busy,4,20,False,Prediction
junction_crossing_busy,4,21,True,Robustness
junction_crossing_busy,4,22,True,Robustness
junction_crossing_busy,4,23,True,Robustness
junction_crossing_busy,4,24,True,Robustness
junction_crossing_busy,4,25,True,Robustness
junction_crossing_busy,4,26,True,Robustness
junction_crossing_busy,4,27,True,Robustness
junction_crossing_busy,4,28,True,Robustness
junction_crossing_busy,4,29,True,Robustness
