Scenario,Failure Category,Severity,Severity (S),Likelihood,Likelihood (L),Risk Score,Risk Band,Mitigation
lane_change/lane_change_simple,Planning,SERIOUS,3,FREQUENT,4,12,Unacceptable,Add safety constraint layer or action shield
lane_change/lane_change_simple,Interaction,MINOR,2,REMOTE,2,4,ALARP,Multi-agent co-training; explicit yield and priority model
