scenario,nuplan_category,episode,env_id,steps,crashed,step_of_crash,total_reward,lane_changes,failure_category,primary_category,failure_events,evidence_paths,near_miss,near_miss_category,n_perception,n_prediction,n_planning,n_alignment,n_robustness,n_interaction,n_unknown
lane_change_simple,lane_change,0,highway-v0,13,True,13,11.77,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0000_step0013_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,1,highway-v0,7,True,7,6.01,1,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0001_step0007_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,2,highway-v0,5,True,5,4.01,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0002_step0005_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,3,highway-v0,4,True,4,3.01,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0003_step0004_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,4,highway-v0,6,True,6,5.01,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0004_step0006_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,5,highway-v0,5,True,5,3.92,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0005_step0005_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,6,highway-v0,3,True,3,2.01,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0006_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,7,highway-v0,3,True,3,1.97,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0007_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,8,highway-v0,4,True,4,3.01,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0008_step0004_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,9,highway-v0,8,True,8,6.92,3,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0009_step0008_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,10,highway-v0,3,True,3,2.01,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0010_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,11,highway-v0,10,True,10,9.01,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0011_step0010_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,12,highway-v0,3,True,3,1.96,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0012_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,13,highway-v0,3,True,3,2.01,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed4_lane_change_simple\evidence\lane_change_simple_ep0013_step0003_planning.json,False,,0,0,1,0,0,0,0
