scenario,nuplan_category,episode,env_id,steps,crashed,step_of_crash,total_reward,lane_changes,failure_category,primary_category,failure_events,evidence_paths,near_miss,near_miss_category,n_perception,n_prediction,n_planning,n_alignment,n_robustness,n_interaction,n_unknown
lane_change_simple,lane_change,0,highway-v0,30,False,0,27.86,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,1,highway-v0,30,False,0,27.9,29,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0001_step0007_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,2,highway-v0,23,True,23,20.46,22,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0002_step0023_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,3,highway-v0,30,False,0,27.86,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,4,highway-v0,30,False,0,27.86,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,5,highway-v0,30,False,0,27.79,28,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,6,highway-v0,30,False,0,27.9,28,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0006_step0015_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,7,highway-v0,30,False,0,27.9,28,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0007_step0009_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,8,highway-v0,30,False,0,27.86,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,9,highway-v0,30,False,0,27.9,28,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0009_step0007_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,10,highway-v0,30,False,0,27.9,29,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0010_step0017_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,11,highway-v0,30,False,0,27.79,29,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0011_step0008_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,12,highway-v0,30,False,0,27.86,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,13,highway-v0,30,False,0,27.86,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,14,highway-v0,30,False,0,27.9,28,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,15,highway-v0,15,True,15,13.08,13,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0015_step0015_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,16,highway-v0,20,True,20,17.68,19,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0016_step0020_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,17,highway-v0,30,False,0,27.86,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,18,highway-v0,30,False,0,27.86,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,19,highway-v0,10,True,10,8.44,8,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0019_step0010_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,20,highway-v0,4,True,4,2.88,2,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0020_step0004_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,21,highway-v0,30,False,0,27.9,29,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0021_step0006_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,22,highway-v0,30,False,0,27.86,29,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0022_step0019_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,23,highway-v0,12,True,12,10.21,11,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0023_step0012_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,24,highway-v0,30,False,0,27.86,28,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0024_step0006_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,25,highway-v0,30,False,0,27.9,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,26,highway-v0,30,False,0,27.81,29,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0026_step0018_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,27,highway-v0,30,False,0,27.86,29,,Unknown,0,,False,,0,0,0,0,0,0,0
lane_change_simple,lane_change,28,highway-v0,30,False,0,27.86,29,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0028_step0012_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
lane_change_simple,lane_change,29,highway-v0,30,False,0,27.86,25,Planning,Planning,1,results\analysis\runs\full_ablation_seed3_lane_change_simple\evidence\lane_change_simple_ep0029_step0005_planning_near_miss.json,True,Planning,0,0,1,0,0,0,0
