scenario,nuplan_category,episode,env_id,steps,crashed,step_of_crash,total_reward,lane_changes,failure_category,primary_category,failure_events,evidence_paths,near_miss,near_miss_category,n_perception,n_prediction,n_planning,n_alignment,n_robustness,n_interaction,n_unknown
lane_change_simple,lane_change,0,highway-v0,7,True,7,5.8,3,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0000_step0007_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,1,highway-v0,15,True,15,13.51,10,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0001_step0015_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,2,highway-v0,7,True,7,5.8,0,Interaction,Interaction,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0002_step0007_interaction.json,False,,0,0,0,0,0,1,0
lane_change_simple,lane_change,3,highway-v0,6,True,6,4.84,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0003_step0006_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,4,highway-v0,9,True,9,7.73,3,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0004_step0009_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,5,highway-v0,7,True,7,5.67,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0005_step0007_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,6,highway-v0,8,True,8,6.76,3,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0006_step0008_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,7,highway-v0,23,True,23,21.22,19,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0007_step0023_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,8,highway-v0,6,True,6,4.84,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0008_step0006_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,9,highway-v0,21,True,21,19.29,17,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0009_step0021_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,10,highway-v0,6,True,6,4.84,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0010_step0006_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,11,highway-v0,25,True,25,23.15,19,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0011_step0025_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,12,highway-v0,11,True,11,9.67,5,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0012_step0011_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,13,highway-v0,5,True,5,3.87,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0013_step0005_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,14,highway-v0,7,True,7,5.78,1,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0014_step0007_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,15,highway-v0,8,True,8,6.76,3,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0015_step0008_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,16,highway-v0,7,True,7,5.8,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0016_step0007_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,17,highway-v0,5,True,5,3.87,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0017_step0005_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,18,highway-v0,7,True,7,5.9,5,Alignment,Alignment,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0018_step0007_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,19,highway-v0,6,True,6,4.85,3,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0019_step0006_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,20,highway-v0,4,True,4,2.91,2,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0020_step0004_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,21,highway-v0,7,True,7,5.97,6,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0021_step0007_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,22,highway-v0,9,True,9,7.74,3,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0022_step0009_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,23,highway-v0,7,True,7,5.95,3,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0023_step0007_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,24,highway-v0,3,True,3,1.95,0,Planning,Planning,1,results\analysis\runs\full_ablation_seed2_lane_change_simple\evidence\lane_change_simple_ep0024_step0003_planning.json,False,,0,0,1,0,0,0,0
