scenario,nuplan_category,episode,env_id,steps,crashed,step_of_crash,total_reward,lane_changes,failure_category,primary_category,failure_events,evidence_paths,near_miss,near_miss_category,n_perception,n_prediction,n_planning,n_alignment,n_robustness,n_interaction,n_unknown
lane_change_simple,lane_change,0,highway-v0,5,True,5,3.99,3,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0000_step0005_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,1,highway-v0,7,True,7,6.01,5,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0001_step0007_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,2,highway-v0,5,True,5,4.01,3,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0002_step0005_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,3,highway-v0,4,True,4,3.01,1,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0003_step0004_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,4,highway-v0,8,True,8,6.8,6,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0004_step0008_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,5,highway-v0,4,True,4,2.97,3,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0005_step0004_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,6,highway-v0,5,True,5,4.03,4,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0006_step0005_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,7,highway-v0,9,True,9,7.96,8,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0007_step0009_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,8,highway-v0,4,True,4,3.01,2,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0008_step0004_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,9,highway-v0,3,True,3,1.99,1,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0009_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,10,highway-v0,3,True,3,2.01,1,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0010_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,11,highway-v0,12,True,12,10.95,8,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0011_step0012_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,12,highway-v0,6,True,6,5.05,5,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0012_step0006_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,13,highway-v0,3,True,3,2.01,1,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0013_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,14,highway-v0,4,True,4,3.05,3,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0014_step0004_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,15,highway-v0,7,True,7,5.84,5,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0015_step0007_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,16,highway-v0,7,True,7,5.8,7,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0016_step0007_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,17,highway-v0,3,True,3,2.01,1,Prediction,Prediction,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0017_step0003_prediction.json,False,,0,1,0,0,0,0,0
lane_change_simple,lane_change,18,highway-v0,5,True,5,4.01,2,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0018_step0005_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,19,highway-v0,6,True,6,4.83,5,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0019_step0006_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,20,highway-v0,3,True,3,1.98,1,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0020_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,21,highway-v0,3,True,3,1.97,1,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0021_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,22,highway-v0,8,True,8,6.84,6,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0022_step0008_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,23,highway-v0,3,True,3,1.98,1,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0023_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,24,highway-v0,3,True,3,1.98,0,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0024_step0003_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,25,highway-v0,8,True,8,6.78,8,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0025_step0008_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,26,highway-v0,5,True,5,3.97,4,Planning,Planning,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0026_step0005_planning.json,False,,0,0,1,0,0,0,0
lane_change_simple,lane_change,27,highway-v0,5,True,5,4.02,3,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0027_step0005_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,28,highway-v0,11,True,11,9.58,11,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0028_step0011_alignment.json,False,,0,0,0,1,0,0,0
lane_change_simple,lane_change,29,highway-v0,8,True,8,6.94,7,Alignment,Alignment,1,results\analysis\runs\baseline_seed4_lane_change_simple\evidence\lane_change_simple_ep0029_step0008_alignment.json,False,,0,0,0,1,0,0,0
